ID,FAid,Adducts,mz,RT,iniRT,endRT
3,FA(14:0),M-H,227.2020279,441.7786688,432.313,463.959
4,FA(14:1)n5,M-H,225.1863813,261.5097922,255.932,271.495
6,FA(14:1)nx,M-H,225.186437,275.3896888,271,280
7,FA(14:1)ny,M-H,225.1864196,284.9298747,280.055,293.5435
8,FA(16:0),M-H,255.2333404,879.6154642,866.003,900.242
9,FA(16:1)n7,M-H,253.2176912,532.2348235,518.948,544.367
10,FA(16:1)n9,M-H,253.2176589,551.379611,544.886,560
11,FA(16:1)n10,M-H,253.2177022,568.0436511,560,577.5685
12,FA(16:1)nx,M-H,253.2177344,583.3429868,578,594.947
14,FA(16:2)ny,M-H,251.2020835,372.8702757,366.6895,375.5
15,FA(16:2)nz,M-H,251.2020944,379.9220593,375.5,389.2555
16,FA(18:0),M-H,283.2646234,1372.673965,1365.58,1383.22
17,FA(18:1)n7,M-H,281.2490528,1000.943131,987.395,1011.78
18,FA(18:1)n9,M-H,281.2490387,1023.966402,1012.3,1035
19,FA(18:1)n10,M-H,281.2489501,1042.88597,1035,1055
23,FA(18:2)n6,M-H,279.2334088,669.3143229,650.715,676
24,FA(18:2)n7,M-H,279.2334593,682.2879957,676,693
25,FA(18:2)nx,M-H,279.2334257,702.5451912,695,709.5945
26,FA(18:2)ny,M-H,279.2334096,717.727324,711.411,723
27,FA(18:2)nz,M-H,279.2333656,770.3658598,723,736
28,FA(18:3)n3,M-H,277.2177093,446.7882212,438.539,456.695
29,FA(18:3)n6,M-H,277.2177512,472.2169532,463.439,483.671
30,FA(18:3)nx,M-H,277.2177711,492.2171738,484.709,499.2345
31,FA(20:0),M-H,311.2960849,1488.239584,1480.22,1494.23
32,FA(20:1)n9,M-H,309.2804555,1401,1398,1404
35,FA(20:2)n6,M-H,307.2648129,1188.379067,1171,1195
36,FA(20:2)n7,M-H,307.2648476,1210,1195,1232
38,FA(20:2)nx,M-H,307.2648599,1248.215106,1234.33,1261.565
39,FA(20:2)ny,M-H,307.2648609,1271.572249,1261.82,1286.72
41,FA(20:3)n6,M-H,305.2491249,850.3236565,832.283,861.853
43,FA(20:3)n9,M-H,305.2491917,950.0665175,937.593,972.35
46,FA(20:4)n6,M-H,303.2334582,632.2664587,620.107,654.865
49,FA(20:5)n3,M-H,301.2178085,427.1996585,415.194,440.095
51,FA(20:6)n3,M-H,299.2022392,370.6496516,364.6145,377.324
52,FA(22:0),M-H,339.3275959,1580.715966,1573.6,1590.72
53,FA(22:1)n9,M-H,337.311852,1493.536632,1489.04,1498
55,FA(22:2)nx,M-H,335.2962017,1424.748676,1421.09,1428.35
56,FA(22:2)ny,M-H,335.2962042,1432.538221,1427.83,1437.69
58,FA(22:3)nx,M-H,333.2806013,1355.151752,1351.05,1365.06
60,FA(22:4)n6,M-H,331.264805,1067.836219,1054.84,1090.63
61,FA(22:5)n3,M-H,329.2492808,754.7671049,736.83,781.964
62,FA(22:5)n6,M-H,329.2492919,807.1745184,798,820
63,FA(22:6)n3,M-H,327.2335979,556.0678061,539.18,582.756
64,FA(24:0),M-H,367.3590121,1702.370098,1694.48,1725.08
65,FA(24:1)n9,M-H,365.3433639,1578.401489,1573.6,1587.09
,FA(16:2)nx,M-H,251.2020835,360,355,367
,FA(18:3)ny,M-H,277.2177711,505,499,510
,FA(20:1)n7,M-H,309.2804432,1395,1392.03,1398
,IS,,286.4275,832,819,852
